customers,units,income,age,compdist,storedist
28,606,66.393,3,3.04,6.32
19,641,48.635,18,1.95,8.89
31,505,80.475,27,6.54,2.05
5,866,89.646,31,1.67,5.81
5,599,56.972,7,0.72,8.11
8,520,66.755,23,2.24,6.81
2,354,71.014,26,0.77,9.27
6,483,59.626,1,3.51,7.92
4,1034,110.207,13,4.23,4.4
11,456,58.021,32,3.07,6.03
10,19,64.198,22,2.96,6.09
2,530,63.794,5,2.77,6.08
1,337,55.855,1,1.33,9.86
6,586,53.852,7,2.98,8.64
9,1113,145.065,9,3.58,5.26
16,525,57.229,3,1.27,7.56
7,377,61.828,15,1.92,8.91
34,1127,115.302,26,5.83,1.74
29,877,76.707,27,5.19,3.66
27,1007,114.86,55,5.03,2.03
8,657,85.513,32,4.38,8.3
16,302,67.191,54,3.41,5.21
10,603,53.736,41,0.34,8.29
6,556,74.129,33,4.78,3.89
8,635,54.308,42,2.53,6.17
15,386,51.734,14,4.99,9.7
37,1011,82.862,54,4.6,3.94
12,925,95.03,36,4.58,8.66
12,898,71.027,44,3.03,5.6
13,731,57.202,43,5.15,9.67
9,584,57.871,13,1.47,8.02
49,439,54.564,18,3.67,5.1
4,153,71.806,21,0.84,9.18
11,1069,84.805,22,2.5,9.43
13,443,67.555,53,2.62,5.75
5,392,61.998,7,1.03,7.74
7,828,110.664,4,1.3,9.66
7,159,46.238,4,2.98,8.66
4,830,72.972,40,2.28,9.26
15,234,58.246,26,3.95,4.61
21,1004,70.927,24,4.9,2.69
7,643,83.315,8,0.78,6.26
33,741,94.177,9,6.61,0.87
13,306,65.886,27,4.53,2.68
1,180,69.588,14,0.88,9.38
12,644,72.347,35,2.94,7.69
5,109,56.791,9,4.37,9.31
26,809,67.74,17,4.1,4.75
5,722,84.175,35,2.38,5.09
49,1006,73.862,48,5.04,2.21
13,786,79.678,20,3.59,8.52
4,1041,84.835,40,1.68,7.59
2,524,76.756,39,0.57,9.1
5,725,59.817,18,1.88,7.96
10,482,54.942,14,3.17,6.91
9,666,93.684,25,5.78,2.55
7,450,89.79,3,4.35,6.03
8,667,83.535,25,2.78,5.59
7,921,67.919,13,2.48,7.69
5,412,65.722,32,2.47,9.43
19,526,67.12,30,4.29,6.15
2,523,53.647,43,2.69,7.54
8,1066,86.464,40,1.15,8.25
8,1001,95.136,29,2.58,9.67
11,669,59.595,38,4.06,8.78
17,582,55.878,58,1.91,6.86
8,872,64.366,52,0.73,8.67
11,758,86.563,31,3.08,8.33
12,782,63.412,26,2.72,6.71
8,551,66.045,2,3.62,7.45
11,201,48.864,43,4.8,8.74
6,730,63.647,9,0.67,7.92
11,738,83.387,13,2.01,6.6
4,469,62.242,40,1.42,8.37
29,898,63.337,32,2.63,9.56
22,780,93.201,5,4.12,6.69
6,622,66.066,46,4.48,4.1
14,391,65.873,19,1.67,6.9
3,531,79.655,40,2.32,5.69
10,566,74.826,1,3.06,4.03
9,410,54.013,50,2.68,7.58
24,719,103.082,31,2.7,4.89
7,684,82.506,51,2.13,8.31
7,865,72.118,46,2.17,9.06
17,1031,97.373,48,6.27,1.75
6,862,92.787,1,2.1,8.63
24,758,65.305,15,3.95,5.58
7,1141,75.026,45,2.79,6.18
8,1289,123.701,8,5.87,2.73
11,674,83.195,54,4.3,6.4
0,683,72.991,57,1.54,9.52
2,650,88.123,15,3.17,9.46
3,406,64.051,29,3.11,9.62
14,966,139.633,38,6.33,2.22
9,1103,80.773,44,4.58,8.68
7,312,68.393,41,2.25,6.43
7,787,86.765,53,5.39,3.37
8,416,58.348,48,1.48,7.66
15,528,69.541,31,4.91,9.67
7,919,65.795,8,2.97,7.79
7,482,80.972,9,2.91,5.85
15,781,58.14,30,1.42,5.71
8,120,44.673,21,2.65,6.25
5,693,61.19,6,4.7,9.54
7,348,50.768,42,1.43,7.11
17,780,78.974,47,4.21,6.41
23,752,96.814,1,3.13,5.47
5,817,79.429,47,1.9,9.9
2,268,59.022,54,1.2,9.51
10,519,77.85,43,2.92,8.62
